ID,Title,Dietary Tags,Key Ingredients,Asian,Latin American,Mediterranean,American,Sweet,Photo type,Kid Friendly,Healthy-Greens,Healthy-Light,Healthy-Carbs,Healthy-Colorful,Indulgent,Adventurousness,VALUE PERCEPTION,COST
MEAT008,"Skirt Steak with Kimchi Fried Rice, Fried Egg and Roast Brussel Sprouts","Nut-Free, Dairy-Free, Spicy","steak, egg, fried rice, brussel sprouts",10,0,0,0,1,bad,Medium,7,2,2,8,6,7,High,7.13
MEAT070,"Seared Bavette Steak with Mojo Verde, Paprika Potatoes and Watercress-Manchego Salad",Gluten Free,"steak, potatoes, watercress",0,7,7,3,1,good,Low,7,5,4,9,7,7,High,8.85
MEAT072,"Greek Style Marinated Tri Tip Steak with Tzatziki Sauce, Black Olive/Oregano Roasted Potatoes, Sauteed Kale","Gluten Free, Nut Free","steak, potatoes, kale",0,0,10,0,1,good,Low,8,6,4,9,3,5,Medium,5.47
MEAT073,"Skirt Steak Fajitas with made to order guacamole, pico de gallo, rice & beans ",Nut-free,"steak, guacamole, rice, beans",0,10,0,3,1,good,High,8,4,2,8,5,4,High,8.26
MEAT074,"Beef Chuck Roast with Egg Noodles, Gravy, Roasted Vegetables and a Frisee and Watercress Salad with Blue Cheese",,"beef, noodles, vegetables, cheese",0,0,0,10,1,good,High,7,6,6,8,6,2,High,9.22
MEAT075,Spiced Petite Tender Steak with Potato Hash and Arugula Salad with Buttermilk-Blue Cheese Dressing ,"Nut Free, Gluten-Free","steak, potato hash, arugula salad",0,0,0,10,0,good,Medium,5,3,5,5,8,1,Medium,5.20
LAMB076,"Lamb Chops with mint salsa verde, roasted cauliflower and cucumber olive salad","Nut-free, ","lamb chops, mint salsa verde, roasted cauliflower, cucumber olive salad",0,2,9,0,0,good,Low,4,7,8,5,6,6,High,9.05
LAMB077,"Lamb Bolognese w/ Fettucini, Onion, and Mushrooms, Arugula Salad, and White Bean Puree with Bread","Dairy-Free, Nut Free","lamb bolognese w/ fettucini, arugula salad, and white bean puree with bread",0,0,8,0,0,good,High,5,3,2,2,9,2,High,8.58
PORK061,"Pork Shoulder Steak with a Bacon-Fingerling Potato Salad, Brussel Sprouts and Red Wine Glaze","Nut-Free, Gluten-Free","pork shoulder steak, potato salad, brussel spouts",0,0,0,10,0,good,Medium,3,3,5,4,7,2,Medium,4.27
PORK062,Pan Seared Pork Steak with Bacon Braised Red Cabbage and Cranberry Apple Compote,"Nut-Free, Gluten-Free","pork steak, red cabbage, cranberry apple compote",0,0,0,10,8,good,Medium,1,3,4,5,7,3,Medium,4.10
PORK065,"Fennel Brined Pork Chop with Sauteed Garlic Rapini with Pine Nuts, Pear Mostarda and Orecchiette in Fontina Parmesan Cream Sauce",,"pork chop, rapini, orecchiette",0,0,0,10,3,good,Medium,4,3,3,5,9,2,Medium,4.28
PORK067,"pork chop, guajillo agave glaze, onion, lime and cilantro relish, radish& arugula salad, refried beans and rice","nut-free, gluten-free, ","pork chop, arugula salad, refried beans and rice",0,10,0,0,0,good,Medium,4,2,5,7,8,4,Low,3.31
PORK068,"Pork Osso Buco with Caper-Raisin Sauce and Rosemary Pine Nut Gremolata, Creamy Polenta and Baby Romaine and Citrus Salad",Gluten-Free,"pork ossobuco, creamy polenta, baby romaine citrus salad",0,0,10,0,0,good,Low,4,1,3,3,10,4,High,6.71
CHIX050,"Chicken Tacos Al Pastor with Radish-Lime Slaw, Three Bean-Avocado salad","Nut-Free, Gluten-Free, Spicy","chicken tacos, slaw, bean-avocado salad",0,10,0,0,0,good,High,1,6,7,6,7,4,Medium,4.02
CHIX058,"Chicken “Paella” with Piquillo Peppers, Corn and Peas, Baby Spinach Salad",Gluten-Free,"chicken paella, corn and peas, spinach salad",0,0,10,0,2,good,Low,3,3,5,6,8,3,High,6.18
CHIX060,Chicken Teriyaki with Edamame Fried Brown Rice and Marinated Cucumbers,"Nut-Free, Gluten-Free, Dairy-Free","chicken teriyaki, fried rice, marinated cucumbers",10,0,0,0,0,good,Medium,2,3,5,3,5,4,Medium,5.11
